=========== Design Variables ===========
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION 
========================================
""
Pc vs Pexit,
Pc,eps = 10,eps = 15,eps = 20,eps = 30,eps = 40
1400.0,18.978970306025488,11.048400056951971,7.5445727837984915,4.416941764997865,3.0241223271851254
1426.6666666666667,19.331782057781776,11.253703610102761,7.6847673969889545,4.499027865189263,3.080326592421753
1453.3333333333333,19.68446892953112,11.45893504927497,7.824913154090415,4.5810856098894535,3.136511492905985
1480.0,20.03703388507477,11.664096094065004,7.965011220903238,4.663115675540541,3.1926774904922732
1506.6666666666667,20.389479769075354,11.868558244001143,8.105062716132025,4.745118711264246,3.248825028386339
1533.3333333333333,20.74180931300523,12.073575466032697,8.245068713732408,4.827095340221259,3.3049545320695644
1560.0,21.094025140401286,12.278527093486362,8.38503024501038,4.909046160822971,3.361066410128655
1586.6666666666667,21.446129774839434,12.483414588211627,8.52494830178811,4.99097174857904,3.4171610555150904
1613.3333333333333,21.798125644319583,12.688239356460901,8.664823838135948,5.072872657094837,3.4732388462279773
1640.0,22.1500150854425,12.893002751341614,8.804657772036148,5.1547494190338785,3.5293001459696742
1666.6666666666667,22.501800350122753,13.09770607672459,8.944450988044867,5.2366025476729625,3.585345305205356
1693.3333333333335,22.853483608921746,13.302350589207718,9.084204338616162,5.318432537659705,3.6413746616862306
1720.0,23.205066954414022,13.506937500043778,9.223918645430158,5.400239865786795,3.6973885409701266
1746.6666666666667,23.55655240678614,13.711467978451514,9.36359470161898,5.482024992286048,3.7533872573109566
1773.3333333333335,23.907941916586513,13.915943153181905,9.503233272851316,5.5637883614557975,3.8093711140836017
1800.0,24.2592373671757,14.120364113966207,9.642835098299972,5.6455304022189745,3.865340404166794
1826.6666666666667,24.61044057970451,14.324731914405,9.782400892619993,5.72725152927553,3.9212954107288636
1853.3333333333335,24.961553315226805,14.52904757322462,9.92193134679005,5.808952143588196,3.9772364075590354
1880.0,25.31257727657228,14.733312075328657,10.06142712883264,5.8906326327973515,4.03316365935211
1906.6666666666667,25.663514112788278,14.937526374421005,10.20088888559217,5.972293372263248,4.089077422416801
1933.3333333333335,26.01436542066924,15.141691393875034,10.340317243331295,6.053934725398178,4.1449779449068505
1960.0,26.365132746285237,15.345808027634492,10.479712808332307,6.135557044022568,4.200865467062273
1986.6666666666667,26.715817588852254,15.54987714246254,10.619076168438857,6.217160669261731,4.256740221816609
2013.3333333333335,27.06642140204599,15.753899578706136,10.758407893558749,6.298745931831515,4.312602435003229
2040.0,27.416945594935527,15.95787615083089,10.89770853604615,6.380313152265239,4.36845232549703
2066.666666666667,27.76739153571641,16.16180764962115,11.036978632174431,6.461862641762786,4.424290105804161
2093.3333333333335,28.117760552514635,16.36569484261603,11.176218702446393,6.543394702379209,4.480115982185918
2120.0,28.4680539341335,16.569538474552314,11.315429251896397,6.624909627187144,4.535930154772772
2146.666666666667,28.818272933473423,16.773339269369256,11.454004938578521,6.706407701073313,4.59173281810225
2173.3333333333335,29.168418768082972,16.977097930502634,11.593152366737597,6.78788920085227,4.647524161204546
2200.0,29.51849262065567,17.180815141198135,11.732271720448004,6.869354395389884,4.703304367679543
2226.666666666667,29.868495642168956,17.384491566322666,11.87136345022822,6.950803546312637,4.759073616186901
2253.3333333333335,30.218428952259313,17.588127852586354,12.01042799429609,7.032236908106349,4.814832080507328
2280.0,30.5682936395864,17.791724628735995,12.149465778692605,7.113654728179827,4.87057992959546
2306.666666666667,30.918090764603665,17.995282507214107,12.288477218395267,7.1950572475229055,4.926317328016396
2333.3333333333335,31.26782135994406,18.198802084325578,12.427462717452338,7.276444700777384,4.982044436004942
2360.0,31.617486430486682,18.4022839402993,12.566422669013129,7.357817316254033,5.037761409473481
2386.666666666667,31.96708695609957,18.605728640900185,12.705357456414987,7.439175316567948,5.093468400441642
2413.3333333333335,32.316623891686135,18.809136737429114,12.844267453195362,7.520518918643993,5.149165557049136
2440.0,32.66609816725032,19.01250876675965,12.98315302311705,7.601848333727226,5.204853023552983
2466.666666666667,33.01551069050838,19.215845252881994,13.12201452120061,7.683163767991462,5.260530940748471
2493.3333333333335,33.36486234676374,19.419146706814605,13.26085229367935,7.764465422500877,5.316199445946361
2520.0,33.71415399886586,19.62241362655148,13.39966667795692,7.845753493200424,5.371858672956139
2546.666666666667,34.063386489701145,19.825646498571984,13.538458003631627,7.927028171497925,5.427508752490555
2573.3333333333335,34.41256064195612,20.028845797640873,13.67722659237098,8.008289644193148,5.483149812118663
2600.0,34.76167725808525,20.232011986818442,13.815972757887277,8.089538093472498,5.538781976257821
2626.666666666667,35.11073712253074,20.435145518760446,13.954696806864519,8.17077369743565,5.594405366534296
2653.3333333333335,35.45974100154641,20.638246835584066,14.093399038830537,8.251996630029494,5.650020101739718
2680.0,35.80868964295385,20.841316368733366,14.232079746085661,8.333207061004973,5.705626297800984
2706.666666666667,36.157583778396706,21.044354540334883,14.370739214607221,8.414405156436136,5.761224068132225
2733.3333333333335,36.506424123045726,21.24736176294862,14.509377723900474,8.495591078644965,5.816813523588204
2760.0,36.8552113752741,21.45033843943848,14.64799554688913,8.576764986127406,5.872394772408236
2786.666666666667,37.20394621885061,21.65328496421954,14.78659295077178,8.65792703405717,5.927967920566998
2813.3333333333335,37.552629322577054,21.85620172305155,14.92517019689173,8.739077374204399,5.983533071711202
2840.0,37.90126133987867,22.059089092797016,15.063727540547802,8.820216154837093,6.039090327098717
2866.666666666667,38.249842911018824,22.26194744272429,15.202265231905923,8.901343521228405,6.0946397859408865
