================= Design Variables ==================
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION              
   Pc  1500    1400    3000 Chamber Pressure  (psia) 
=====================================================
""
eps,IspVac,IspSL
10.0,416.60848731714344,393.65178066567273
10.833333333333334,419.12776396372584,394.2697783795326
11.666666666666666,421.40023017033343,394.64221473138673
12.5,423.46559992909243,394.8087298100944
13.333333333333334,425.3550300397505,394.80041422831556
14.166666666666668,427.0933692001619,394.64205749236385
15.0,428.70071966414025,394.353709085488
15.833333333333334,430.1924388876156,393.9507730699278
16.666666666666668,431.584432437503,393.4489270090631
17.5,432.88702164109253,392.8585420528495
18.333333333333336,434.10987313014806,392.18924838732266
19.166666666666668,435.26122242556414,391.44924801310873
20.0,436.3481337774991,390.64557469412523
20.833333333333336,437.37671458217983,389.7843073135065
21.666666666666668,438.3522751321165,388.87072969914806
22.5,439.279455478481,387.90945768055224
23.333333333333336,440.1623375289236,386.904550219249
24.166666666666668,441.0045266930732,385.85959128720424
25.0,441.80921903566406,384.777757241053
25.833333333333336,442.5792652433495,383.6618798901048
26.666666666666668,443.3181230721073,382.515274708896
27.5,444.02622820848467,381.3386113446221
28.333333333333336,444.70658364916164,380.13475178090926
29.166666666666668,445.3610529797233,378.90554469214544
30.0,445.99132314601377,377.6526632474129
30.833333333333336,446.59892982643566,376.37762972742075
31.666666666666668,447.1852726783777,375.08183106760055
32.5,447.7516286209461,373.7665324215686
33.333333333333336,448.29916926441757,372.4328938733043
34.16666666666667,448.82897016938546,371.0819799962906
35.0,449.34201903984325,369.7147683312917
35.833333333333336,449.8392282809229,368.33216125730104
36.66666666666667,450.3214406798631,366.9349919726062
37.5,450.78943451086525,365.52402988524767
38.333333333333336,451.2439329698367,364.09998938615814
39.16666666666667,451.6856076466377,362.66353361969385
40.0,452.11508169693974,361.21527794016356
40.833333333333336,452.5329371951682,360.3054812681669
41.66666666666667,452.93971720678394,359.6141149960406
42.5,453.33592771892694,358.92400806046993
43.333333333333336,453.72204355609784,358.23512038369006
44.16666666666667,454.09850954600574,357.5474138405196
45.0,454.46574163650286,356.8608511076006
45.833333333333336,454.8241317869181,356.1753976802871
46.66666666666667,455.17404853733046,355.49102065217755
47.5,455.5158375831641,354.8076876700374
48.333333333333336,455.8498259151676,354.1253688097198
49.16666666666667,456.17632199125956,353.44403546760174
50.0,456.49561594520316,352.7636594049897
50.833333333333336,456.8079831607768,352.08421449700955
51.66666666666667,457.11368417697224,351.40567571925993
52.5,457.4129646477484,350.728018268907
53.333333333333336,457.7060584798076,350.0512191989042
54.16666666666667,457.99318755849487,349.3752564865276
55.0,458.2745615376516,348.70010822094645
55.833333333333336,458.5503806333434,348.0257541336479
56.66666666666667,458.820835229855,347.35217473818375
57.5,459.0861055536009,346.6793505757622
58.333333333333336,459.34636419028965,346.0072636515676
59.16666666666667,459.601775611923,345.3358966370449
60.0,459.85249577216894,344.66523216653377
