================= Design Variables ==================
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION              
   Pc  1500    1400    3000 Chamber Pressure  (psia) 
=====================================================
""
eps,IspVac,IspSL
10.0,416.6084873171617,393.5083290328005
10.833333333333334,419.12776396370947,394.10259248898484
11.666666666666666,421.40023017033747,394.45004550524936
12.5,423.46559992908294,394.5904020736314
13.333333333333334,425.3550300397418,394.55481899392686
14.166666666666668,427.09336920015755,394.36814496397915
15.0,428.7007196641368,394.05048223759496
15.833333333333334,430.19243888761105,393.6171882707058
16.666666666666668,431.58443243750435,393.0841686302357
17.5,432.887021641096,392.4617446434639
18.333333333333336,434.10987313013425,391.7595829421387
19.166666666666668,435.2612224255631,390.9859190472041
20.0,436.3481337774947,390.14781720877227
20.833333333333336,437.37671458216016,389.2513848230743
21.666666666666668,438.35227513211674,388.30193218266743
22.5,439.2794554784775,387.30409933866474
23.333333333333336,440.1623375289161,386.26196819873996
24.166666666666668,441.0045266930706,385.17914417253104
25.0,441.80921903565974,384.0588233247567
25.833333333333336,442.5792652433325,382.90385634206604
26.666666666666668,443.3181230721084,381.7177009804785
27.5,444.026228208479,380.50079292648564
28.333333333333336,444.70658364916204,379.2561351768053
29.166666666666668,445.3610529797117,377.98559131699153
30.0,445.99132314601013,376.6908482929265
30.833333333333336,446.59892982643044,375.3734417829834
31.666666666666668,447.18527267837493,374.03477144456446
32.5,447.7516286209525,372.6761141967786
33.333333333333336,448.29916926441393,371.2986416498766
34.16666666666667,448.8289701693818,369.903429364481
35.0,449.3420190398387,370.3569848835661
35.833333333333336,449.83922828091136,369.79130830672773
36.66666666666667,450.32144067986053,369.2240234061825
37.5,450.78943451085644,368.6551895228685
38.333333333333336,451.2439329698276,368.0848613233858
39.16666666666667,451.6856076466357,367.51309052690425
40.0,452.1150816969334,366.93992735130826
40.833333333333336,452.532937195171,366.3654181202255
41.66666666666667,452.9397172067707,365.7896067937922
42.5,453.3359277189279,365.2125362615083
43.333333333333336,453.7220435560999,364.6342461257295
44.16666666666667,454.09850954600347,364.0547740720796
45.0,454.4657416364998,363.47415703634334
45.833333333333336,454.8241317869169,362.8924291464117
46.66666666666667,455.174048537329,362.3096229598772
47.5,455.51583758316104,361.7257705253951
48.333333333333336,455.84982591517064,361.14090146730314
49.16666666666667,456.1763219912544,360.5550441114059
50.0,456.4956159452039,359.9682264567952
50.833333333333336,456.80798316077664,359.3804743891184
51.66666666666667,457.11368417696497,358.79181271095473
52.5,457.4129646477534,358.20226603686996
53.333333333333336,457.7060584798043,357.6118571227493
54.16666666666667,457.99318755849436,357.02060781402463
55.0,458.2745615376459,356.42853987412883
55.833333333333336,458.5503806333369,355.83567341877955
56.66666666666667,458.82083522985016,355.24202779284934
57.5,459.086105553597,354.6476223404167
58.333333333333336,459.34636419028703,354.0524749344111
59.16666666666667,459.6017756119232,353.45660279058086
60.0,459.8524957721635,352.8600231862033
